symbol,description,mint,isActive,volume7d,liquidity,volumeGrowth,pricePerformance,holderCount
SOL,undefined,So11111111111111111111111111111111111111112,true,2897341214.1099997,105938697.23000003,-5.69,-5.69,0
VIRTUAL,undefined,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,true,150687020.75000003,30865385.459999997,-7.42,-7.42,0
AI16Z,undefined,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,true,89533789.38,7946739.260000001,-9.37,-9.37,0
FARTCOIN,undefined,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,true,220206674.79999998,27022885.580000013,-6.2,-6.2,0
AIXBT,undefined,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,true,44126751.55000001,9316938.120000001,-2.1,-2.1,0
GRIFFAIN,undefined,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,true,50860940.41,6708734.13,-8.39,-8.39,0
GOAT,undefined,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,true,4477672.57,4687521.84,-2.48,-2.48,0
ARC,undefined,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,true,235477960.54999998,14496341.119999995,-0.7,-0.7,0
ZEREBRO,undefined,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,true,12341665.700000001,2571068.04,-4.5,-4.5,0
GAME,undefined,0x1C4CcA7C5DB003824208aDDA61Bd749e55F463a3,true,2420459.51,8135141.559999999,-5.7,-5.7,0
ALCH,undefined,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,true,8475674.900000002,2154775.4499999997,-4.64,-4.64,0
HAT,undefined,AxGAbdFtdbj2oNXa4dKqFvwHzgFtW9mFHWmd7vQfpump,true,6666334.640000001,1016051.3200000001,2,2,0
AKA,undefined,4TwC4AiF1uUSHES2eBftGqemp6TqjEnKghqiH6dFpump,true,1849033.0599999996,402128.17,-13.94,-13.94,0
USDT,undefined,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,true,15784297.969999999,100147018.42,-0.09,-0.09,0
UBC,undefined,9psiRdn9cXYVps4F1kFuoNjd2EtmqNJXrCPmRppJpump,true,202686.96,393479.56,-14.24,-14.24,0
COMPUTE,undefined,B1N1HcMm4RysYz4smsXwmk2UnS8NziqKCM6Ho8i62vXo,true,10675.35,4010.65,-38.65,-38.65,0